ticker,name,sic_code,description,total_employees
AADI,"Aadi Bioscience, Inc. Common Stock",2834,"Aadi Bioscience Inc is a clinical-stage biopharmaceutical company developing precision therapies for genetically-defined cancers. Aadi's primary goal is to bring transformational therapies to cancer patients with mTOR pathway driver alterations such as alterations in TSC1 or TSC2 genes, where other mTOR inhibitors have not or cannot be effectively exploited due to problems of pharmacology, effective drug delivery, safety, or effective targeting to the disease site. It has one operating segment, which is the business of developing and commercializing proprietary therapeutic. Geographically, it is located in the United States.",53
AADR,,,,0
AAL,American Airlines Group Inc.,4512,"American Airlines is the world's largest airline by aircraft, capacity, and scheduled revenue passenger miles. Its major US hubs are Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C. It generates over 30% of US airline revenue connecting Latin America with destinations in the United States. After completing a major fleet renewal, the company has the youngest fleet of US legacy carriers.",132100
AAM,AA Mission Acquisition Corp.,6770,AA Mission Acquisition Corp is a blank check company.,0
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",6770,AA Mission Acquisition Corp is a blank check company.,0
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",6770,AA Mission Acquisition Corp is a blank check company.,0
AAME,Atlantic American Corp,6311,"Atlantic American Corp operates in specialty markets within the life and health and property and casualty insurance industries. The company has two segments: American Southern, It provides property and casualty insurance including bodily injury and property damage liability coverage, uninsured motorist coverage, and physical damage coverage for commercial accounts. It also provides tailored business automobile insurance coverage, on a multi-year contract basis, to state governments and local municipalities, and Bankers Fidelity, the company's life and health operations offer a variety of life and supplemental health products including ordinary and term life insurance, Medicare supplement, and other health insurance. It earns revenue from the collection of premiums and investment income.",155
AAMI,Acadian Asset Management Inc.,6282,"Acadian Asset Management Inc is a diversified, multi-boutique asset management company. It offers institutional investors across the globe access to a wide array of systematic strategies designed to meet a range of risk and return objectives.",387
AAOI,"Applied Optoelectronics, Inc.",3674,"Applied Optoelectronics Inc is a provider of fiber-optic networking products for the Internet data center, cable television, telecommunications and fiber-to-the-home end markets. The company focuses on designing and manufacturing a range of optical communication products from components, to subassemblies, and modules to complete turn-key equipment. Demand for Applied Optoelectronics is driven by bandwidth demand in end markets. Through direct sales personnel, and manufacturing teams in the United States, China, and Taiwan, the company coordinates with customers to determine product design, qualifications, and performance. The company derives maximum revenue from Taiwan.",2149
AAON,Aaon Inc,3585,"AAON Inc is a manufacturer of air-conditioning and heating equipment. The products include rooftop units, chillers, packaged outdoor mechanical rooms, air-handling units, makeup air units, energy-recovery units, condensing units, geothermal heat pumps, and self-contained units and coils. AAON's products serve the commercial and industrial new construction and replacement markets, primarily in North America.",3666
AAP,ADVANCE AUTO PARTS INC,5531,"Advance Auto Parts is a leading auto parts retailer in North America with more than 4,000 store and branch locations. About 55% of the firm's sales are geared toward the professional channel, with the remaining 45% going to the do-it-yourself market. Through its vast store footprint and distribution network, Advance manages thousands of stock-keeping units conducive to various vehicle makes and models. The retailer primarily competes on the basis of inventory availability and service speed, making the operating efficiency of its hub and spoke distribution model critical to meeting customer needs.",69000
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,,,0
AAPD,Direxion Daily AAPL Bear 1X Shares,,,0
AAPL,Apple Inc.,3571,"Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution.",164000
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,,,0
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,,,0
AAPX,T-Rex 2X Long Apple Daily Target ETF,,,0
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,,,0
AAT,"AMERICAN ASSETS TRUST, INC.",6798,"American Assets Trust Inc is a self-administered real estate investment trust based in the United States. The company invests in, operates, and develops retail, office, residential, and mixed-use properties. Properties are predominantly located in South California, Northern California, Oregon, Washington, and Hawaii. American Assets operates through four segments based on property type: retail; office; mixed-use, which consists of retail and hotel components; and multifamily, which includes the company's apartment properties. The retail and office segments collectively contribute the majority of the total revenue.",228
AAXJ,iShares MSCI All Country Asia ex Japan ETF,,,0
AB,"AllianceBernstein Holding, L.P.",6282,"AllianceBernstein provides investment management services to institutional (42% of assets under management), retail (41%), and private (17%) clients through products that includes mutual funds, hedge funds, and separately managed accounts. At the end of October 2024, AB had $793 billion in managed assets, composed primarily of fixed-income (37% of AUM) and equity (42%) strategies, with other investments (made up of asset allocation services and certain other alternative investments) accounting for the remainder.",4707
ABAT,American Battery Technology Company Common Stock,1400,"American Battery Technology Co is engaged in lithium-ion battery recycling, battery metals and material extraction, and resource production. It is a battery metals company producing low-cost battery metals with a commitment to closed-loop, clean energy technologies.",98
ABBV,ABBVIE INC.,2834,"AbbVie is a pharmaceutical firm with a strong exposure to immunology (with Humira, Skyrizi, and Rinvoq) and oncology (with Imbruvica and Venclexta). The company was spun off from Abbott in early 2013. The 2020 acquisition of Allergan added several new products and drugs in aesthetics (including Botox).",50000
ABCB,,6022,"Ameris Bancorp is a bank holding company that operates through Ameris Bank, its subsidiary. The company operates branches in Georgia, Alabama, Florida, and South Carolina. It offers traditional banking services such as business banking, personal banking, checking, savings, mobile banking, and others. The bank is organized into five segments: banking, retail mortgage, warehouse lending, SBA, and premium finance. The company generates most of its revenue from the banking segment. Ameris intends to acquire banks in its geographic region to increase its market share and expand beyond its current market.",2765
ABCL,AbCellera Biologics Inc. Common Shares,2834,"AbCellera Biologics Inc is an antibody discovery and development engine that's specifically designed to address the barriers of conventional discovery, finding the optimal clinical candidate with greater precision and speed, getting to the clinic and patients sooner. With the integrated AbCellera platform, the company's experts search a wide range of diverse antibodies to select the effective and developable leads fast and set partners up for enduring success. The company have extensive experience forging partnerships with emerging biotechs and pharmaceutical companies. AbCellera leverages proprietary hardware, software, and tools along with the latest data science, to operate as strategic partners and help develop optimized solutions faster for any program.",586
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,,,0
ABEO,Abeona Therapeutics Inc. Common Stock,2834,"Abeona Therapeutics Inc is a clinical-stage biopharmaceutical company. The firm is focused on developing gene therapies and plasma-based products for life-threatening rare genetic diseases. Its clinical programs consist of pz-cel, an autologous, engineered cell therapy currently in development for recessive dystrophic epidermolysis bullosa (RDEB). The Company's development portfolio also features adeno-associated virus (AAV)-based gene therapies designed to treat unmet, medically needed ophthalmic diseases using the novel AIM.",84
ABEQ,Absolute Select Value ETF,,,0
ABEV,AMBEV S.A.,,"Ambev is the largest brewer in Latin America and the Caribbean and is Anheuser-Busch InBev's subsidiary in the region. It produces, distributes, and sells beer and PepsiCo products in Brazil and other Latin American countries and owns Argentina's largest brewer, Quinsa. Ambev was formed in 1999 through the merger of Brazil's two largest beverage companies, Brahma and Antarctica. In 2004, Ambev combined with Canadian brewer Labatt, giving Interbrew (now AB InBev) a controlling interest of 61.8% as at the end of 2023.",42774
ABG,"Asbury Automotive Group, Inc.",5500,"Asbury Automotive Group is a regional collection of automobile dealerships that went public in March 2002. The company operates 155 new-vehicle stores and 37 collision centers. Over 70% of new-vehicle revenue is from luxury and import brands. Asbury also offers third-party financing and insurance products and its own F&I products via Total Care Auto. Asbury operates in 15 states (mostly Texas, the West, the Mid-Atlantic, and the Southeast). Asbury store brands include McDavid and Park Place in Texas, Koons in the Washington, D.C. area, and the Larry H. Miller brand in the Western US. Asbury generated $14.8 billion of revenue in 2023 and is based in the Atlanta area. The firm targets at least $30 billion of revenue sometime between 2025 and 2030.",15000
ABHY,Abacus Tactical High Yield ETF,,,0
ABL,"Abacus Life, Inc. Class A Common Stock",6282,Abacus Life Inc is a vertically integrated alternative asset manager specializing in investing in life insurance products throughout the lifecycle of a life insurance policy.,102
ABLD,Abacus FCF Real Assets Leaders ETF,,,0
ABLG,Abacus FCF International Leaders ETF,,,0
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",6282,Abacus Life Inc is a vertically integrated alternative asset manager specializing in investing in life insurance products throughout the lifecycle of a life insurance policy.,102
ABLLW,"Abacus Life, Inc. Warrant",6282,Abacus Life Inc is a vertically integrated alternative asset manager specializing in investing in life insurance products throughout the lifecycle of a life insurance policy.,102
ABLV,Able View Global Inc. Class B Ordinary Shares,,"Able View Global Inc operates as a brand management partner of international beauty and personal care brands in China. It provides full-service solutions covering marketing plan, branding, digital and social marketing, omni-channel sales, customer service, overseas logistics, warehouse, and fulfillment. The firm generates revenue from product sales by distributing and selling cross-border products from various brand owners to Chinese consumers.",98
ABLVW,,,"Able View Global Inc operates as a brand management partner of international beauty and personal care brands in China. It provides full-service solutions covering marketing plan, branding, digital and social marketing, omni-channel sales, customer service, overseas logistics, warehouse, and fulfillment. The firm generates revenue from product sales by distributing and selling cross-border products from various brand owners to Chinese consumers.",98
ABM,"ABM Industries, Inc.",7340,"ABM Industries Inc is a provider of integrated facility solutions. It offers its solutions through five segments: Business and Industry, Manufacturing and Distribution, Education, Aviation and Technical solutions. The company derives the majority of its revenue from the business and industry segment, which encompasses janitorial, facilities engineering, and parking services for commercial real estate properties and sports and entertainment venues, hospitals, as well as vehicle maintenance and other services to rental car providers. The company mainly operates in the United States of America.",117000
ABNB,"Airbnb, Inc. Class A Common Stock",7340,"Started in 2008, Airbnb is the world's largest online alternative accommodation travel agency, also offering booking services for boutique hotels and experiences. Airbnb's platform offered over 8 million active accommodation listings as of Sept. 30, 2024. Listings from the company's over 5 million hosts are spread over almost every country in the world. In 2023, 50% of revenue was from the North American region. Transaction fees for online bookings account for all its revenue.",6907
ABNY,YieldMax ABNB Option Income Strategy ETF,,,0
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",2836,"Acumen Pharmaceuticals Inc is a clinical-stage biopharmaceutical company developing a novel disease-modifying approach to target what it believes to be a key underlying cause of Alzheimer's disease. The company's drug candidate, ACU193, is a subclass monoclonal antibody that selectively targets amyloid-beta oligomers.",52
ABOT,,,,0
ABP,"Abpro Holdings, Inc Common Stock",2836,"Abpro Holdings Inc is a biotechnology company dedicated to developing next-generation antibody therapeutics with the goal of improving the lives of patients with severe and life-threatening diseases. It is focused on novel antibody constructs for immuno-oncology and ophthalmology. By leveraging its proprietary DiversImmune and MultiMabTM antibody discovery and engineering platforms, The company is developing a pipeline of next-generation antibodies, both independently and through collaborations with global pharmaceutical and research institutions.",0
ABPWW,"Abpro Holdings, Inc. Warrant",,"Abpro Holdings Inc is a biotechnology company dedicated to developing next-generation antibody therapeutics with the goal of improving the lives of patients with severe and life-threatening diseases. It is focused on novel antibody constructs for immuno-oncology and ophthalmology. By leveraging its proprietary DiversImmune and MultiMabTM antibody discovery and engineering platforms, The company is developing a pipeline of next-generation antibodies, both independently and through collaborations with global pharmaceutical and research institutions.",0
ABR,"Arbor Realty Trust, Inc.",6798,"Arbor Realty Trust Inc is a specialized real estate finance company. It invests in a diversified portfolio of structured finance assets in the multifamily and commercial real estate markets, consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred, and direct equity. In addition, it may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. The company has two business segments, Structured Business and Agency Business. It generates a majority of its revenue from the Structured Business Segment. The company is externally managed and advised by Arbor Commercial Mortgage, LLC.",647
ABRpD,"Arbor Realty Trust, Inc. 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",6798,"Arbor Realty Trust Inc is a specialized real estate finance company. It invests in a diversified portfolio of structured finance assets in the multifamily and commercial real estate markets, consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred, and direct equity. In addition, it may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. The company has two business segments, Structured Business and Agency Business. It generates a majority of its revenue from the Structured Business Segment. The company is externally managed and advised by Arbor Commercial Mortgage, LLC.",647
ABRpE,"Arbor Realty Trust, Inc. 6.25% Series E Cumulative Redeemable Preferred Stock",6798,"Arbor Realty Trust Inc is a specialized real estate finance company. It invests in a diversified portfolio of structured finance assets in the multifamily and commercial real estate markets, consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred, and direct equity. In addition, it may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. The company has two business segments, Structured Business and Agency Business. It generates a majority of its revenue from the Structured Business Segment. The company is externally managed and advised by Arbor Commercial Mortgage, LLC.",647
ABRpF,"Arbor Realty Trust, Inc. 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",6798,"Arbor Realty Trust Inc is a specialized real estate finance company. It invests in a diversified portfolio of structured finance assets in the multifamily and commercial real estate markets, consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred, and direct equity. In addition, it may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. The company has two business segments, Structured Business and Agency Business. It generates a majority of its revenue from the Structured Business Segment. The company is externally managed and advised by Arbor Commercial Mortgage, LLC.",647
ABSI,Absci Corporation Common Stock,8731,Absci Corp is the Artificial intelligence powered synthetic biology company unlocking the potential of proteins as the next generation of therapeutics. It enables the creation of novel biologics by unifying biologic drug discovery and cell line development into one simultaneous process.,156
ABT,Abbott Laboratories,2834,"Abbott manufactures and markets cardiovascular and diabetes devices, adult and pediatric nutritional products, diagnostic equipment and testing kits, and branded generic drugs. Products include pacemakers, implantable cardioverter defibrillators, neuromodulation devices, coronary stents, catheters, infant formula, nutritional liquids for adults, continuous glucose monitors, and immunoassays and point-of-care diagnostic equipment. Abbott derives approximately 60% of sales outside the United States.",114000
ABTS,Abits Group Inc Ordinary Shares,,Abits Group Inc is a digital data center operator with bitcoin self-mining operations.,11
ABUS,Arbutus Biopharma Corporation Common Stock,2834,"Arbutus Biopharma Corp is a biopharmaceutical company. The company discovers, develops, and commercializes cures for patients suffering from Hepatitis B infection. The company is focused on developing a portfolio of drug candidates with multiple mechanisms of action and is also involved in licensing Lipid nanoparticle technology.",73
ABVC,"ABVC BioPharma, Inc. Common Stock",2834,"ABVC BioPharma Inc is a clinical-stage biopharmaceuticals company with an active pipeline of six drugs and one medical device (ABV-1701/Vitargus) under development. For its drug products, it is focused on utilizing its licensed technology to conduct proof-of-concept trials through Phase II of the clinical development process. The firm is specialized in botanically based solutions that deliver high efficacy with low toxicity for improved health outcomes.",19
ABVE,Above Food Ingredients Inc. Common Stock,,"Above Food Ingredients Inc is a differentiated, regenerative ingredient company. Its products are made with real nutritious, flavorful ingredients and delivered with transparency. Its vision is to create a healthier world one seed, one field, and one bite at a time. With a robust chain of custody of plant proteins, enabled by scaled operations and infrastructure in primary agriculture and processing, and proprietary seed development capabilities that leverage the power of artificial intelligence driven genomics. The company delivers nutritious foods to businesses and consumers with traceability and sustainability. Above Food's consumer products and brands are available in grocers across Canada and the United States.",0
ABVEW,Above Food Ingredients Inc. Warrants,,"Above Food Ingredients Inc is a differentiated, regenerative ingredient company. Its products are made with real nutritious, flavorful ingredients and delivered with transparency. Its vision is to create a healthier world one seed, one field, and one bite at a time. With a robust chain of custody of plant proteins, enabled by scaled operations and infrastructure in primary agriculture and processing, and proprietary seed development capabilities that leverage the power of artificial intelligence driven genomics. The company delivers nutritious foods to businesses and consumers with traceability and sustainability. Above Food's consumer products and brands are available in grocers across Canada and the United States.",0
ABVX,Abivax SA American Depositary Shares,,"Abivax SA is a France-based clinical-stage biotechnology company focused on developing therapeutics that harness the body's natural regulatory mechanisms to stabilize the immune response in patients with chronic inflammatory diseases. They are evaluating its drug candidate, obefazimod, in Phase 3 clinical trials for the treatment of adults with moderately to severely active ulcerative colitis. Its initial focus is on inflammatory bowel diseases, chronic conditions involving inflammation of the gastrointestinal tract, of which the two most common forms are UC and CD.",61
ACA,"Arcosa, Inc. Common Stock",3440,"Arcosa Inc is a manufacturer and producer of infrastructure-related products and services. It operates in three segments: Construction Products, Engineered Structures, and Transportation Products. The Construction Products segment produces and sells construction aggregates and manufactures and sells trench shields and shoring products and services for infrastructure-related projects. The Transportation Products segment manufactures and sells products for the inland waterway and rail transportation industries. The Engineered Structures segment manufactures and sells products for energy-related businesses, including structural wind towers, telecommunication structures, steel utility structures for electricity transmission and distribution, and storage and distribution containers.",6075
ACAD,Acadia Pharmaceuticals Inc.,2834,"Acadia Pharmaceuticals Inc is a biotechnology company that develops and commercializes biopharmaceutical products to address central nervous system disorders. The company aims to discover small molecules drugs that address disorders such as Parkinson's, Alzheimer's, and schizophrenia. Acadia also seeks to in-license or acquire complementary products and candidates. The company's patent applications claim proprietary technology, including novel methods of screening and chemical synthetic methods, novel drug targets, and novel compounds identified using its technology.",620
ACB,Aurora Cannabis Inc. Common Shares,,"Aurora Cannabis, headquartered in Edmonton, Canada, cultivates and sells medicinal and recreational cannabis through a portfolio of brands that includes Drift, San Rafael '71, Daily Special, Whistler, Being, and Greybeard. Although the company primarily operates in Canada, it has expanded internationally through medical cannabis exporting agreements.",1130
ACCD,"Accolade, Inc. Common Stock",7389,"Accolade Inc offers technology-enabled solutions that help people understand, navigate, and utilize the healthcare system and their workplace benefits. The company's platform combines open, cloud-based intelligent technology with multimodal support from a team of Accolade Care Advocates and clinicians, including registered nurses, physician medical directors, pharmacists, primary care physicians, and other professionals to provide advocacy, medical opinion, and virtual primary care services.",2400
ACCO,Acco Brands Corporation,2780,"ACCO Brands Corp designs, manufactures, and markets consumer and business products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company offers school notebooks, janitorial supplies, and whiteboards; storage and organization products, sheet protectors, and indexes, and punching products; computer accessories and others used in schools, homes, and businesses. It offers its products under the AT-A-GLANCE, Five Star, GBC, Hilroy, Kensington, Quartet, Leitz, NOBO and other brands. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, and variety chains; and warehouse clubs. It generates maximum profit from ACCO Brands North America segment.",5600
ACDC,ProFrac Holding Corp. Class A Common Stock,1389,"ProFrac Holding Corp is engaged in providing hydraulic fracturing, completion services, and other complementary products and services to upstream oil and gas companies engaged in the exploration and production of North American unconventional oil and natural gas resources. Its operations are focused in West Texas, East Texas/Louisiana, South Texas, Oklahoma, Uinta, and Appalachian. The company operates in three segments: stimulation services, manufacturing, and proppant production. Stimulation services, which generate the majority of the revenue for the company operate a fleet of mobile hydraulic fracturing units and other auxiliary equipment that generates revenue by providing stimulation services.",2949
ACEL,"Accel Entertainment, Inc.",7900,"Accel Entertainment Inc is a distributed gaming operator in the United States. It is engaged in the installation, maintenance, and operation of video gaming terminals. The company offers products to restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores. It operates slot machines and amusement equipment. The company generates a majority of its revenue from net gaming. Net gaming revenue represents net cash received from gaming activities, which is the difference between gaming wins and losses. Net gaming revenue includes the amount earned by location partners and is recognized at the time of gaming play.",1330
ACET,"Adicet Bio, Inc. Common Stock",2834,"Adicet Bio Inc is a clinical-stage biotechnology company discovering and developing allogeneic gamma delta T cell therapies for cancer and other diseases. Its lead product candidate, ADI-001, a first-in-class allogeneic gamma delta T cell therapy expressing a CAR targeting CD20, is being developed for the potential treatment of autoimmune diseases and relapsed or refractory aggressive B cell non-Hodgkin's lymphoma. Their pipeline also includes its lead preclinical candidate, ADI-270, an armored gamma delta CAR T cell product candidate targeting renal cell carcinoma, with potential for other CD70+ solid tumor and hematological malignancies indications.",143
ACGL,Arch Capital Group Ltd,6331,"Arch Capital Group Ltd is a Bermuda company which writes insurance and reinsurance with operations in Bermuda, the United States, Canada, Europe, Australia and United Kingdom. The business operates through three underwriting segments: insurance, reinsurance, and mortgage two operating segments: corporate and other. The insurance segment provides specialty risk solutions to client across a variety of industries. The reinsurance segment provides reinsurance services which cover property catastrophe, property, liability, marine, aviation and space, trade credit and surety, agriculture, accident, life and health, and political risk. The mortgage business provides risk management and risk financing products to the mortgage insurance sectors through platforms in the U.S., Europe and Bermuda.",5800
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",6331,"Arch Capital Group Ltd is a Bermuda company which writes insurance and reinsurance with operations in Bermuda, the United States, Canada, Europe, Australia and United Kingdom. The business operates through three underwriting segments: insurance, reinsurance, and mortgage two operating segments: corporate and other. The insurance segment provides specialty risk solutions to client across a variety of industries. The reinsurance segment provides reinsurance services which cover property catastrophe, property, liability, marine, aviation and space, trade credit and surety, agriculture, accident, life and health, and political risk. The mortgage business provides risk management and risk financing products to the mortgage insurance sectors through platforms in the U.S., Europe and Bermuda.",5800
ACGR,American Century Large Cap Growth ETF,,,0
ACHC,"Acadia Healthcare Company, Inc.",8093,"Acadia Healthcare Co Inc acquires and develops behavioral healthcare facilities in the United States, United Kingdom, and Puerto Rico. Acute inpatient psychiatric facilities and specialty treatment facilities contribute the vast majority of Acadia's revenue in the United States. The U.S. facilities receive the major proportion of payments from Medicaid, with the second-largest proportion from commercial payors. In the United Kingdom, the majority of Acadia's revenue comes from its healthcare facilities, and virtually all of the payment received is from the National Health Service.",23500
ACHL,Achilles Therapeutics plc American Depositary Shares,,"Achilles Therapeutics PLC is a biopharmaceutical company. It is developing AI-powered precision T-cell therapies targeting clonal neoantigens to treat solid tumors. The company has two ongoing trials, the CHIRON trial in patients with non-small-cell lung cancer and the THETIS trial in patients with recurrent or metastatic melanoma.",215
ACHR.WS,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",3721,,0
ACHV,,2835,"Achieve Life Sciences Inc is a specialty pharmaceutical company committed to advancing cytisinicline as a widely available treatment option to help people battling nicotine addiction. It is an established smoking cessation treatment that has been approved and marketed in Central and Eastern Europe. Achieve's focus is to address the smoking health epidemic through the development and commercialization of cytisinicline. It has one operating segment, dedicated to the development and commercialization of cytisinicline for niceon.",22
ACI,"Albertsons Companies, Inc.",5411,"Albertsons is the second largest supermarket operator in the United States with over 2,200 stores across a variety of banners. About 80% of the firm's sales stem from non-perishable and fresh food, of which 25% comes from its portfolio of private brands. The company operates fuel centers and pharmacies at about 20% and 75% of its store locations, respectively. Albertsons went public in 2020 following years of ownership under private equity firm Cerberus Capital Management, which still owns about a fourth of outstanding shares.",285000
ACIC,American Coastal Insurance Corporation Common Stock,6331,American Coastal Insurance Corp is a holding company that underwrites commercial residential property and casualty insurance policies in the United States through its wholly-owned insurance subsidiary. The company has two segments namely: Commercial Lines Business and Personal Lines Business. It derives maximum revenue from Commercial Lines Business Segment.,71
ACIO,Aptus Collared Investment Opportunity ETF,,,0
ACIU,AC Immune SA,,"AC Immune SA is a clinical-stage biopharmaceutical company that focuses on neurodegenerative diseases. The company uses its proprietary technology platforms to discover, design, and develop novel proprietary small molecules, antibodies, and vaccines for the prevention, diagnosis, and treatment of neurodegenerative diseases associated with protein misfolding. The Company has one segment. The Company currently focuses most of its resources on discovering and developing therapeutic and diagnostic products targeting misfolded proteins. The company's pipeline consists of ACI-24.060, Crenezumab, ACI-35.030, Semorinemab, ACI-7104.056, and others.",161
ACIW,"ACI Worldwide, Inc.",7372,"ACI Worldwide Inc develops, markets, and installs a portfolio of software products focused on facilitating electronic payments. The firm also leverages its distribution network in the Americas; Europe, the Middle East, and Africa, or EMEA; and Asia-Pacific regions to sell software developed by third parties. ACI software products process payment transactions for retail banking clients, billers such as utilities and healthcare providers, and community banks and credit unions. ACI's customers are financial institutions all over the world, but majority of the revenue is generated in the United States and EMEA regions.",3212
ACLC,,,,0
ACLO,TCW AAA CLO ETF,,,0
ACLS,Axcelis Technologies Inc,3559,"Axcelis Technologies Inc designs, manufactures and services ion implantation and other processing equipment used in the fabrication of semiconductor chips. In addition to equipment, the company provide aftermarket lifecycle products and services, including used tools, spare parts, equipment upgrades, maintenance services and customer training. Geographically, the group has a business presence in North America, Asia Pacific and Europe, of which key revenue is derived from the Asia Pacific.",1704
ACLX,"Arcellx, Inc. Common Stock",2836,Arcellx Inc is a clinical-stage biotechnology company reimagining cell therapy through the development of immunotherapies for patients with cancer and other incurable diseases.,130
ACM,Aecom,8711,"Aecom is one of the largest global providers of design, engineering, construction, and management services. It serves a broad spectrum of end markets including infrastructure, water, transportation, and energy. Based in Los Angeles, Aecom has a presence in over 150 countries and employs 51,000. The company generated $16.1 billion in sales in fiscal 2024.",51000
ACMR,"ACM Research, Inc. Class A Common Stock",3559,"ACM Research Inc is a United-based company. It is engaged in developing, manufacturing, and selling single-wafer wet cleaning equipment, which is used by semiconductor manufacturers in numerous manufacturing steps to remove particles, contaminants, and other random defects to improve product yield, in fabricating integrated circuits, or chips. The company offers space alternated phase shift which employs alternating phases of megasonic waves to deliver megasonic energy to flat and patterned wafer surfaces on a microscopic level; and Timely Energized Bubble Oscillation technology which provides effective, damage-free cleaning for both conventional two and three-dimensional patterned wafers at process nodes.",1590
